group,condition,severity,p_neurotox,triaged_label,feat1_name,feat1_imp,feat1_val,feat1_base,feat1_contrib,feat2_name,feat2_imp,feat2_val,feat2_base,feat2_contrib,feat3_name,feat3_imp,feat3_val,feat3_base,feat3_contrib,feat4_name,feat4_imp,feat4_val,feat4_base,feat4_contrib,feat5_name,feat5_imp,feat5_val,feat5_base,feat5_contrib
neurotox,spike_suppression,0.3,0.936,suppression-like,bp_high_mean,0.1574,27.198,51.103,0.2276,bp_low_mean,0.1543,2.243,4.120,0.2054,rms_mean,0.1689,8.233,11.088,0.0533,rms_max,0.0508,22.333,28.024,0.0338,spike_rate_mean,0.0565,4.662,5.075,0.0156
neurotox,spike_suppression,0.6,0.992,suppression-like,bp_high_mean,0.1574,13.790,51.103,0.3552,bp_low_mean,0.1543,1.122,4.120,0.3281,rms_max,0.0508,6.775,28.024,0.1261,rms_mean,0.1689,5.171,11.088,0.1104,rms_std,0.0033,0.955,4.840,0.0250
neurotox,spike_suppression,0.9,0.991,suppression-like,bp_high_mean,0.1574,3.933,51.103,0.4490,bp_low_mean,0.1543,0.326,4.120,0.4152,spike_rate_max,0.0486,0.000,8.800,0.2051,spike_rate_mean,0.0565,0.000,5.075,0.1921,rms_mean,0.1689,2.765,11.088,0.1553
neurotox,rate_decrease,0.3,0.846,suppression-like,bp_high_mean,0.1574,37.159,51.103,0.1327,spectral_edge_freq,0.0607,871.094,4468.750,0.0950,rms_max,0.0508,17.794,28.024,0.0607,bp_low_mean,0.1543,3.620,4.120,0.0547,rms_mean,0.1689,8.993,11.088,0.0391
neurotox,rate_decrease,0.6,0.883,suppression-like,bp_high_mean,0.1574,26.338,51.103,0.2357,spectral_edge_freq,0.0607,722.656,4468.750,0.0989,rms_max,0.0508,14.521,28.024,0.0801,bp_low_mean,0.1543,3.620,4.120,0.0547,rms_mean,0.1689,8.268,11.088,0.0526
neurotox,rate_decrease,0.9,0.882,suppression-like,bp_high_mean,0.1574,17.915,51.103,0.3159,rms_max,0.0508,10.198,28.024,0.1058,spectral_edge_freq,0.0607,576.172,4468.750,0.1028,rms_mean,0.1689,7.250,11.088,0.0716,bp_low_mean,0.1543,3.765,4.120,0.0389
FP_artifact,EMI_bursts,0.3,0.964,suppression-like,rms_max,0.0508,14.354,28.024,0.0811,spike_rate_max,0.0486,11.000,8.800,0.0513,spike_rate_std,0.0216,2.582,1.832,0.0483,bp_high_mean,0.1574,53.667,51.103,0.0244,rms_mean,0.1689,9.973,11.088,0.0208
FP_artifact,EMI_bursts,0.6,0.993,suppression-like,rms_max,0.0508,12.393,28.024,0.0928,bp_high_mean,0.1574,47.588,51.103,0.0335,rms_mean,0.1689,9.507,11.088,0.0295,spike_rate_max,0.0486,7.600,8.800,0.0280,bp_low_mean,0.1543,3.903,4.120,0.0238
FP_artifact,ADC_clipping,0.9,0.931,suppression-like,rms_max,0.0508,15.941,28.024,0.0717,bp_low_mean,0.1543,4.304,4.120,0.0202,rms_mean,0.1689,10.132,11.088,0.0178,rms_std,0.0033,2.366,4.840,0.0159,spike_rate_std,0.0216,2.015,1.832,0.0118
FP_artifact,coupling_shift,0.9,0.958,suppression-like,rms_max,0.0508,14.117,28.024,0.0825,spike_rate_max,0.0486,10.200,8.800,0.0326,bp_high_mean,0.1574,48.085,51.103,0.0287,spike_rate_std,0.0216,2.178,1.832,0.0223,rms_mean,0.1689,9.906,11.088,0.0221
FP_artifact,sample_rate_mismatch,0.9,0.968,suppression-like,rms_max,0.0508,13.162,28.024,0.0882,bp_low_mean,0.1543,3.354,4.120,0.0838,bp_high_mean,0.1574,44.703,51.103,0.0609,rms_mean,0.1689,9.574,11.088,0.0283,rms_std,0.0033,1.845,4.840,0.0193
FP_artifact,bandpass_mismatch,0.6,0.870,suppression-like,bp_low_mean,0.1543,0.403,4.120,0.4068,spectral_edge_freq,0.0607,1058.594,4468.750,0.0900,rms_max,0.0508,13.351,28.024,0.0871,rms_mean,0.1689,9.482,11.088,0.0300,bp_high_mean,0.1574,48.631,51.103,0.0235
FP_artifact,bandpass_mismatch,0.9,0.882,suppression-like,bp_low_mean,0.1543,0.028,4.120,0.4478,rms_max,0.0508,12.468,28.024,0.0923,spectral_edge_freq,0.0607,1027.344,4468.750,0.0909,rms_mean,0.1689,9.047,11.088,0.0381,bp_high_mean,0.1574,47.776,51.103,0.0317
