cusum_threshold,cooldown_s,noise_condition,duration_min,n_false_alarms,n_neurotox_false_alarms,fpr_per_hour,neurotox_fpr_per_hour
3.0,0,clean,10.0,17,17,102.00,102.00
3.0,5,clean,10.0,16,16,96.00,96.00
3.0,10,clean,10.0,15,15,90.00,90.00
3.0,30,clean,10.0,12,12,72.00,72.00
4.0,0,clean,10.0,7,7,42.00,42.00
4.0,5,clean,10.0,7,7,42.00,42.00
4.0,10,clean,10.0,6,6,36.00,36.00
4.0,30,clean,10.0,5,5,30.00,30.00
5.0,0,clean,10.0,2,2,12.00,12.00
5.0,5,clean,10.0,2,2,12.00,12.00
5.0,10,clean,10.0,2,2,12.00,12.00
5.0,30,clean,10.0,2,2,12.00,12.00
6.0,0,clean,10.0,1,1,6.00,6.00
6.0,5,clean,10.0,1,1,6.00,6.00
6.0,10,clean,10.0,1,1,6.00,6.00
6.0,30,clean,10.0,1,1,6.00,6.00
7.0,0,clean,10.0,1,1,6.00,6.00
7.0,5,clean,10.0,1,1,6.00,6.00
7.0,10,clean,10.0,1,1,6.00,6.00
7.0,30,clean,10.0,1,1,6.00,6.00
8.0,0,clean,10.0,1,1,6.00,6.00
8.0,5,clean,10.0,1,1,6.00,6.00
8.0,10,clean,10.0,1,1,6.00,6.00
8.0,30,clean,10.0,1,1,6.00,6.00
10.0,0,clean,10.0,0,0,0.00,0.00
10.0,5,clean,10.0,0,0,0.00,0.00
10.0,10,clean,10.0,0,0,0.00,0.00
10.0,30,clean,10.0,0,0,0.00,0.00
3.0,0,60Hz_mild,10.0,5,5,30.00,30.00
3.0,5,60Hz_mild,10.0,5,5,30.00,30.00
3.0,10,60Hz_mild,10.0,4,4,24.00,24.00
3.0,30,60Hz_mild,10.0,4,4,24.00,24.00
4.0,0,60Hz_mild,10.0,4,4,24.00,24.00
4.0,5,60Hz_mild,10.0,4,4,24.00,24.00
4.0,10,60Hz_mild,10.0,3,3,18.00,18.00
4.0,30,60Hz_mild,10.0,3,3,18.00,18.00
5.0,0,60Hz_mild,10.0,3,3,18.00,18.00
5.0,5,60Hz_mild,10.0,3,3,18.00,18.00
5.0,10,60Hz_mild,10.0,3,3,18.00,18.00
5.0,30,60Hz_mild,10.0,3,3,18.00,18.00
6.0,0,60Hz_mild,10.0,3,3,18.00,18.00
6.0,5,60Hz_mild,10.0,3,3,18.00,18.00
6.0,10,60Hz_mild,10.0,3,3,18.00,18.00
6.0,30,60Hz_mild,10.0,3,3,18.00,18.00
7.0,0,60Hz_mild,10.0,3,3,18.00,18.00
7.0,5,60Hz_mild,10.0,3,3,18.00,18.00
7.0,10,60Hz_mild,10.0,3,3,18.00,18.00
7.0,30,60Hz_mild,10.0,3,3,18.00,18.00
8.0,0,60Hz_mild,10.0,3,3,18.00,18.00
8.0,5,60Hz_mild,10.0,3,3,18.00,18.00
8.0,10,60Hz_mild,10.0,3,3,18.00,18.00
8.0,30,60Hz_mild,10.0,3,3,18.00,18.00
10.0,0,60Hz_mild,10.0,2,2,12.00,12.00
10.0,5,60Hz_mild,10.0,2,2,12.00,12.00
10.0,10,60Hz_mild,10.0,2,2,12.00,12.00
10.0,30,60Hz_mild,10.0,2,2,12.00,12.00
3.0,0,60Hz_heavy+harmonics,10.0,14,5,84.00,30.00
3.0,5,60Hz_heavy+harmonics,10.0,12,5,72.00,30.00
3.0,10,60Hz_heavy+harmonics,10.0,12,5,72.00,30.00
3.0,30,60Hz_heavy+harmonics,10.0,9,3,54.00,18.00
4.0,0,60Hz_heavy+harmonics,10.0,3,1,18.00,6.00
4.0,5,60Hz_heavy+harmonics,10.0,3,1,18.00,6.00
4.0,10,60Hz_heavy+harmonics,10.0,3,1,18.00,6.00
4.0,30,60Hz_heavy+harmonics,10.0,3,1,18.00,6.00
5.0,0,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
5.0,5,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
5.0,10,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
5.0,30,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
6.0,0,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
6.0,5,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
6.0,10,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
6.0,30,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
7.0,0,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
7.0,5,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
7.0,10,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
7.0,30,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
8.0,0,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
8.0,5,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
8.0,10,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
8.0,30,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
10.0,0,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
10.0,5,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
10.0,10,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
10.0,30,60Hz_heavy+harmonics,10.0,0,0,0.00,0.00
3.0,0,EMI_bursts,10.0,23,23,138.00,138.00
3.0,5,EMI_bursts,10.0,23,23,138.00,138.00
3.0,10,EMI_bursts,10.0,18,18,108.00,108.00
3.0,30,EMI_bursts,10.0,11,11,66.00,66.00
4.0,0,EMI_bursts,10.0,16,16,96.00,96.00
4.0,5,EMI_bursts,10.0,16,16,96.00,96.00
4.0,10,EMI_bursts,10.0,14,14,84.00,84.00
4.0,30,EMI_bursts,10.0,9,9,54.00,54.00
5.0,0,EMI_bursts,10.0,12,12,72.00,72.00
5.0,5,EMI_bursts,10.0,12,12,72.00,72.00
5.0,10,EMI_bursts,10.0,12,12,72.00,72.00
5.0,30,EMI_bursts,10.0,8,8,48.00,48.00
6.0,0,EMI_bursts,10.0,6,6,36.00,36.00
6.0,5,EMI_bursts,10.0,6,6,36.00,36.00
6.0,10,EMI_bursts,10.0,6,6,36.00,36.00
6.0,30,EMI_bursts,10.0,4,4,24.00,24.00
7.0,0,EMI_bursts,10.0,1,1,6.00,6.00
7.0,5,EMI_bursts,10.0,1,1,6.00,6.00
7.0,10,EMI_bursts,10.0,1,1,6.00,6.00
7.0,30,EMI_bursts,10.0,1,1,6.00,6.00
8.0,0,EMI_bursts,10.0,1,1,6.00,6.00
8.0,5,EMI_bursts,10.0,1,1,6.00,6.00
8.0,10,EMI_bursts,10.0,1,1,6.00,6.00
8.0,30,EMI_bursts,10.0,1,1,6.00,6.00
10.0,0,EMI_bursts,10.0,0,0,0.00,0.00
10.0,5,EMI_bursts,10.0,0,0,0.00,0.00
10.0,10,EMI_bursts,10.0,0,0,0.00,0.00
10.0,30,EMI_bursts,10.0,0,0,0.00,0.00
3.0,0,thermal_drift,10.0,14,14,84.00,84.00
3.0,5,thermal_drift,10.0,14,14,84.00,84.00
3.0,10,thermal_drift,10.0,13,13,78.00,78.00
3.0,30,thermal_drift,10.0,10,10,60.00,60.00
4.0,0,thermal_drift,10.0,2,2,12.00,12.00
4.0,5,thermal_drift,10.0,2,2,12.00,12.00
4.0,10,thermal_drift,10.0,2,2,12.00,12.00
4.0,30,thermal_drift,10.0,2,2,12.00,12.00
5.0,0,thermal_drift,10.0,0,0,0.00,0.00
5.0,5,thermal_drift,10.0,0,0,0.00,0.00
5.0,10,thermal_drift,10.0,0,0,0.00,0.00
5.0,30,thermal_drift,10.0,0,0,0.00,0.00
6.0,0,thermal_drift,10.0,0,0,0.00,0.00
6.0,5,thermal_drift,10.0,0,0,0.00,0.00
6.0,10,thermal_drift,10.0,0,0,0.00,0.00
6.0,30,thermal_drift,10.0,0,0,0.00,0.00
7.0,0,thermal_drift,10.0,0,0,0.00,0.00
7.0,5,thermal_drift,10.0,0,0,0.00,0.00
7.0,10,thermal_drift,10.0,0,0,0.00,0.00
7.0,30,thermal_drift,10.0,0,0,0.00,0.00
8.0,0,thermal_drift,10.0,0,0,0.00,0.00
8.0,5,thermal_drift,10.0,0,0,0.00,0.00
8.0,10,thermal_drift,10.0,0,0,0.00,0.00
8.0,30,thermal_drift,10.0,0,0,0.00,0.00
10.0,0,thermal_drift,10.0,0,0,0.00,0.00
10.0,5,thermal_drift,10.0,0,0,0.00,0.00
10.0,10,thermal_drift,10.0,0,0,0.00,0.00
10.0,30,thermal_drift,10.0,0,0,0.00,0.00
