session,trial,perturbation_type,perturbation_level,onset_time_s,temperature_C,filename,notes
0,1,baseline,none,30.0,,S0_T01_baseline_none.rhd,baseline characterization
0,2,baseline,none,30.0,,S0_T02_baseline_none.rhd,baseline characterization
0,3,baseline,none,30.0,,S0_T03_baseline_none.rhd,baseline characterization
0,4,baseline,none,30.0,,S0_T04_baseline_none.rhd,baseline characterization
0,5,baseline,none,30.0,,S0_T05_baseline_none.rhd,baseline characterization
1,1,impedance,0.3pct,30.0,,S1_T01_impedance_0.3pct.rhd,
1,2,impedance,0.1pct,30.0,,S1_T02_impedance_0.1pct.rhd,
1,3,impedance,0.3pct,30.0,,S1_T03_impedance_0.3pct.rhd,
1,4,impedance,0.3pct,30.0,,S1_T04_impedance_0.3pct.rhd,
1,5,impedance,0.1pct,30.0,,S1_T05_impedance_0.1pct.rhd,
1,6,impedance,0.1pct,30.0,,S1_T06_impedance_0.1pct.rhd,
1,7,impedance,0.3pct,30.0,,S1_T07_impedance_0.3pct.rhd,
1,8,impedance,0.9pct,30.0,,S1_T08_impedance_0.9pct.rhd,
1,9,impedance,0.3pct,30.0,,S1_T09_impedance_0.3pct.rhd,
1,10,impedance,0.9pct,30.0,,S1_T10_impedance_0.9pct.rhd,
1,11,impedance,0.9pct,30.0,,S1_T11_impedance_0.9pct.rhd,
1,12,impedance,0.1pct,30.0,,S1_T12_impedance_0.1pct.rhd,
1,13,impedance,0.9pct,30.0,,S1_T13_impedance_0.9pct.rhd,
1,14,impedance,0.9pct,30.0,,S1_T14_impedance_0.9pct.rhd,
1,15,impedance,0.1pct,30.0,,S1_T15_impedance_0.1pct.rhd,
2,1,coupling,1M,30.0,,S2_T01_coupling_1M.rhd,
2,2,coupling,10k,30.0,,S2_T02_coupling_10k.rhd,
2,3,coupling,100k,30.0,,S2_T03_coupling_100k.rhd,
2,4,coupling,100k,30.0,,S2_T04_coupling_100k.rhd,
2,5,coupling,1M,30.0,,S2_T05_coupling_1M.rhd,
2,6,coupling,100k,30.0,,S2_T06_coupling_100k.rhd,
2,7,coupling,100k,30.0,,S2_T07_coupling_100k.rhd,
2,8,coupling,10k,30.0,,S2_T08_coupling_10k.rhd,
2,9,coupling,10k,30.0,,S2_T09_coupling_10k.rhd,
2,10,coupling,100k,30.0,,S2_T10_coupling_100k.rhd,
2,11,coupling,10k,30.0,,S2_T11_coupling_10k.rhd,
2,12,coupling,1M,30.0,,S2_T12_coupling_1M.rhd,
2,13,coupling,1M,30.0,,S2_T13_coupling_1M.rhd,
2,14,coupling,10k,30.0,,S2_T14_coupling_10k.rhd,
2,15,coupling,1M,30.0,,S2_T15_coupling_1M.rhd,
3,1,injection,50mV,30.0,,S3_T01_injection_50mV.rhd,
3,2,injection,50mV,30.0,,S3_T02_injection_50mV.rhd,
3,3,injection,10mV,30.0,,S3_T03_injection_10mV.rhd,
3,4,injection,100mV,30.0,,S3_T04_injection_100mV.rhd,
3,5,injection,100mV,30.0,,S3_T05_injection_100mV.rhd,
3,6,injection,100mV,30.0,,S3_T06_injection_100mV.rhd,
3,7,injection,10mV,30.0,,S3_T07_injection_10mV.rhd,
3,8,injection,100mV,30.0,,S3_T08_injection_100mV.rhd,
3,9,injection,50mV,30.0,,S3_T09_injection_50mV.rhd,
3,10,injection,50mV,30.0,,S3_T10_injection_50mV.rhd,
3,11,injection,10mV,30.0,,S3_T11_injection_10mV.rhd,
3,12,injection,10mV,30.0,,S3_T12_injection_10mV.rhd,
3,13,injection,100mV,30.0,,S3_T13_injection_100mV.rhd,
3,14,injection,10mV,30.0,,S3_T14_injection_10mV.rhd,
3,15,injection,50mV,30.0,,S3_T15_injection_50mV.rhd,
4,1,impedance,0.1pct,30.0,,S4_T01_impedance_0.1pct.rhd,replication
4,2,impedance,0.3pct,30.0,,S4_T02_impedance_0.3pct.rhd,replication
4,3,injection,10mV,30.0,,S4_T03_injection_10mV.rhd,replication
4,4,impedance,0.1pct,30.0,,S4_T04_impedance_0.1pct.rhd,replication
4,5,coupling,10k,30.0,,S4_T05_coupling_10k.rhd,replication
4,6,injection,50mV,30.0,,S4_T06_injection_50mV.rhd,replication
4,7,injection,100mV,30.0,,S4_T07_injection_100mV.rhd,replication
4,8,impedance,0.9pct,30.0,,S4_T08_impedance_0.9pct.rhd,replication
4,9,injection,50mV,30.0,,S4_T09_injection_50mV.rhd,replication
4,10,injection,10mV,30.0,,S4_T10_injection_10mV.rhd,replication
4,11,injection,50mV,30.0,,S4_T11_injection_50mV.rhd,replication
4,12,impedance,0.3pct,30.0,,S4_T12_impedance_0.3pct.rhd,replication
4,13,coupling,10k,30.0,,S4_T13_coupling_10k.rhd,replication
4,14,coupling,1M,30.0,,S4_T14_coupling_1M.rhd,replication
4,15,coupling,100k,30.0,,S4_T15_coupling_100k.rhd,replication
4,16,coupling,1M,30.0,,S4_T16_coupling_1M.rhd,replication
4,17,impedance,0.9pct,30.0,,S4_T17_impedance_0.9pct.rhd,replication
4,18,coupling,100k,30.0,,S4_T18_coupling_100k.rhd,replication
4,19,injection,100mV,30.0,,S4_T19_injection_100mV.rhd,replication
4,20,coupling,10k,30.0,,S4_T20_coupling_10k.rhd,replication
4,21,coupling,100k,30.0,,S4_T21_coupling_100k.rhd,replication
4,22,impedance,0.9pct,30.0,,S4_T22_impedance_0.9pct.rhd,replication
4,23,impedance,0.1pct,30.0,,S4_T23_impedance_0.1pct.rhd,replication
4,24,injection,10mV,30.0,,S4_T24_injection_10mV.rhd,replication
4,25,injection,100mV,30.0,,S4_T25_injection_100mV.rhd,replication
4,26,coupling,1M,30.0,,S4_T26_coupling_1M.rhd,replication
4,27,impedance,0.3pct,30.0,,S4_T27_impedance_0.3pct.rhd,replication
