model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
RF,rate_decrease,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.3,B,0.9965,0.6222,1.0000,0.3713,,,,0.0000,0.8000,250,90,ok
Deep,rate_decrease,0.3,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,rate_decrease,0.3,B,0.4756,0.4750,1.0000,0.0386,,,,0.0000,0.0000,250,90,ok
RF,rate_decrease,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.6,B,0.7720,0.5556,1.0000,0.4753,,,,0.0000,0.8000,250,90,ok
Deep,rate_decrease,0.6,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,rate_decrease,0.6,B,0.4425,0.4625,1.0000,0.0380,,,,0.0000,0.0000,250,90,ok
RF,rate_decrease,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.9,B,0.9223,0.5556,1.0000,0.4606,,,,0.0000,0.8000,250,90,ok
Deep,rate_decrease,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,rate_decrease,0.9,B,0.4725,0.4625,1.0000,0.0364,,,,0.0000,0.0000,250,90,ok
RF,partial_suppression,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.3,B,0.9970,0.7333,1.0000,0.2489,,,,0.0000,0.8000,250,90,ok
Deep,partial_suppression,0.3,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,partial_suppression,0.3,B,0.5537,0.4750,1.0000,0.0382,,,,0.0000,0.0000,250,90,ok
RF,partial_suppression,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.6,B,0.9762,0.6000,1.0000,0.3889,,,,0.0000,0.8000,250,90,ok
Deep,partial_suppression,0.6,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,partial_suppression,0.6,B,0.5062,0.4875,1.0000,0.0383,,,,0.0000,0.0000,250,90,ok
RF,partial_suppression,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.9,B,0.9935,0.5556,1.0000,0.4079,,,,0.0000,0.8000,250,90,ok
Deep,partial_suppression,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,partial_suppression,0.9,B,0.5650,0.4750,1.0000,0.0384,,,,0.0000,0.0000,250,90,ok
RF,bandpass_mismatch,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.3,B,0.9985,0.9889,1.0000,0.2299,,,,0.0000,0.8000,250,90,ok
Deep,bandpass_mismatch,0.3,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,bandpass_mismatch,0.3,B,0.4975,0.5250,1.0000,0.0662,,,,0.0000,0.0000,250,90,ok
RF,bandpass_mismatch,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.6,B,0.9985,0.9778,1.0000,0.2316,,,,0.0000,0.8000,250,90,ok
Deep,bandpass_mismatch,0.6,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,bandpass_mismatch,0.6,B,0.4450,0.5000,1.0000,0.0764,,,,0.0000,0.0000,250,90,ok
RF,bandpass_mismatch,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.9,B,0.9980,0.9000,1.0000,0.2374,,,,0.0000,0.8000,250,90,ok
Deep,bandpass_mismatch,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,bandpass_mismatch,0.9,B,0.4250,0.5000,1.0000,0.0773,,,,0.0000,0.0000,250,90,ok
RF,sample_rate_mismatch,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.3,B,0.9980,0.9778,1.0000,0.0481,,,,0.0000,0.8000,250,90,ok
Deep,sample_rate_mismatch,0.3,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,sample_rate_mismatch,0.3,B,0.6219,0.5375,1.0000,0.0383,,,,0.0000,0.0000,250,90,ok
RF,sample_rate_mismatch,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.6,B,1.0000,1.0000,1.0000,0.0285,,,,0.0000,0.8000,250,90,ok
Deep,sample_rate_mismatch,0.6,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,sample_rate_mismatch,0.6,B,0.6238,0.5000,1.0000,0.0388,,,,0.0000,0.0000,250,90,ok
RF,sample_rate_mismatch,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.9,B,1.0000,1.0000,1.0000,0.0153,,,,0.0000,0.8000,250,90,ok
Deep,sample_rate_mismatch,0.9,A,0.4924,0.5125,1.0000,0.0401,,,,0.0000,0.0000,250,250,ok
Deep,sample_rate_mismatch,0.9,B,0.6063,0.4750,1.0000,0.0411,,,,0.0000,0.0000,250,90,ok
RF,quantization_change,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.3,B,0.9955,0.9444,1.0000,0.0765,,,,0.0000,0.8000,250,90,ok
