model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
CUSUM,sixty_hz,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sixty_hz,0.3,B,0.0000,0.0000,1.0000,0.9365,,,,0.0000,0.0000,0,27,ok
RF,sixty_hz,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sixty_hz,0.3,B,1.0000,0.8519,1.0000,0.2363,,,,0.0000,0.7778,75,27,ok
CUSUM,sixty_hz,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sixty_hz,0.6,B,0.0000,0.0000,1.0000,0.9368,,,,0.0000,0.0000,0,27,ok
RF,sixty_hz,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sixty_hz,0.6,B,1.0000,0.8889,1.0000,0.2155,,,,0.0000,0.7778,75,27,ok
CUSUM,sixty_hz,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,sixty_hz,0.9,B,0.0000,0.0000,1.0000,0.9152,,,,0.0000,0.0000,0,27,ok
RF,sixty_hz,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,sixty_hz,0.9,B,1.0000,0.8889,1.0000,0.2131,,,,0.0000,0.7778,75,27,ok
CUSUM,emi_burst,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,emi_burst,0.3,B,0.0000,0.0000,1.0000,0.9401,,,,0.0000,0.0000,0,27,ok
RF,emi_burst,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,emi_burst,0.3,B,0.9333,0.8889,1.0000,0.1321,,,,0.0000,0.7778,75,27,ok
CUSUM,emi_burst,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,emi_burst,0.6,B,0.0000,0.0000,1.0000,0.9081,,,,0.0000,0.0000,0,27,ok
RF,emi_burst,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,emi_burst,0.6,B,1.0000,1.0000,1.0000,0.0458,,,,0.0000,0.7778,75,27,ok
CUSUM,emi_burst,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,emi_burst,0.9,B,0.0000,0.0000,1.0000,0.9024,,,,0.0000,0.0000,0,27,ok
RF,emi_burst,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,emi_burst,0.9,B,1.0000,1.0000,1.0000,0.0554,,,,0.0000,0.7778,75,27,ok
CUSUM,dc_drift,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,dc_drift,0.3,B,0.0000,0.0000,1.0000,0.9091,,,,0.0000,0.0000,0,27,ok
RF,dc_drift,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,dc_drift,0.3,B,1.0000,0.8889,1.0000,0.1285,,,,0.0000,0.7778,75,27,ok
CUSUM,dc_drift,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,dc_drift,0.6,B,0.0000,0.0000,1.0000,0.8909,,,,0.0000,0.0000,0,27,ok
RF,dc_drift,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,dc_drift,0.6,B,1.0000,1.0000,1.0000,0.0578,,,,0.0000,0.7778,75,27,ok
CUSUM,dc_drift,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,dc_drift,0.9,B,0.0000,0.0000,1.0000,0.9283,,,,0.0000,0.0000,0,27,ok
RF,dc_drift,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,dc_drift,0.9,B,1.0000,1.0000,1.0000,0.0512,,,,0.0000,0.7778,75,27,ok
CUSUM,adc_clipping,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,adc_clipping,0.3,B,0.0000,0.0000,1.0000,0.9205,,,,0.0000,0.0000,0,27,ok
RF,adc_clipping,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,adc_clipping,0.3,B,0.9944,0.9630,1.0000,0.1341,,,,0.0000,0.7778,75,27,ok
CUSUM,adc_clipping,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,adc_clipping,0.6,B,0.0000,0.0000,1.0000,0.8853,,,,0.0000,0.0000,0,27,ok
RF,adc_clipping,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,adc_clipping,0.6,B,1.0000,0.9630,1.0000,0.0721,,,,0.0000,0.7778,75,27,ok
CUSUM,adc_clipping,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,adc_clipping,0.9,B,0.0000,0.0000,1.0000,0.8832,,,,0.0000,0.0000,0,27,ok
RF,adc_clipping,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,adc_clipping,0.9,B,1.0000,1.0000,1.0000,0.0423,,,,0.0000,0.7778,75,27,ok
CUSUM,channel_dropout,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,channel_dropout,0.3,B,0.0000,0.0000,1.0000,0.9178,,,,0.0000,0.0000,0,27,ok
RF,channel_dropout,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,channel_dropout,0.3,B,1.0000,0.9259,1.0000,0.1231,,,,0.0000,0.7778,75,27,ok
CUSUM,channel_dropout,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,channel_dropout,0.6,B,0.0000,0.0000,1.0000,0.9141,,,,0.0000,0.0000,0,27,ok
RF,channel_dropout,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,channel_dropout,0.6,B,1.0000,1.0000,1.0000,0.1055,,,,0.0000,0.7778,75,27,ok
CUSUM,channel_dropout,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,channel_dropout,0.9,B,0.0000,0.0000,1.0000,0.8820,,,,0.0000,0.0000,0,27,ok
RF,channel_dropout,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,channel_dropout,0.9,B,1.0000,1.0000,1.0000,0.0514,,,,0.0000,0.7778,75,27,ok
CUSUM,coupling_shift,0.3,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,coupling_shift,0.3,B,0.0000,0.0000,1.0000,0.9013,,,,0.0000,0.0000,0,27,ok
RF,coupling_shift,0.3,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,coupling_shift,0.3,B,1.0000,0.9630,1.0000,0.0996,,,,0.0000,0.7778,75,27,ok
CUSUM,coupling_shift,0.6,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,coupling_shift,0.6,B,0.0000,0.0000,1.0000,0.9195,,,,0.0000,0.0000,0,27,ok
RF,coupling_shift,0.6,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
RF,coupling_shift,0.6,B,1.0000,1.0000,1.0000,0.0389,,,,0.0000,0.7778,75,27,ok
CUSUM,coupling_shift,0.9,A,0.0000,0.0000,1.0000,0.9681,,,,0.0000,0.0000,75,75,ok
CUSUM,coupling_shift,0.9,B,0.0000,0.0000,1.0000,0.8852,,,,0.0000,0.0000,0,27,ok
RF,coupling_shift,0.9,A,0.9993,0.9867,1.0000,0.0332,,,,0.0000,0.7778,75,75,ok
