model,shift,severity,domain,auroc,binary_accuracy,fpr_at_tpr90,ece,latency_median_s,latency_iqr_lo,latency_iqr_hi,detection_rate,holdout_accuracy,n_train,n_test,status
RF,sixty_hz,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sixty_hz,0.3,B,1.0000,0.8444,1.0000,0.2233,,,,0.0000,0.8000,250,90,ok
RF,sixty_hz,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sixty_hz,0.6,B,1.0000,0.8333,1.0000,0.2296,,,,0.0000,0.8000,250,90,ok
RF,sixty_hz,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sixty_hz,0.9,B,1.0000,0.8667,1.0000,0.2302,,,,0.0000,0.8000,250,90,ok
RF,emi_burst,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,emi_burst,0.3,B,0.9985,0.9889,1.0000,0.0501,,,,0.0000,0.8000,250,90,ok
RF,emi_burst,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,emi_burst,0.6,B,1.0000,0.9889,1.0000,0.0293,,,,0.0000,0.8000,250,90,ok
RF,emi_burst,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,emi_burst,0.9,B,1.0000,0.9889,1.0000,0.0272,,,,0.0000,0.8000,250,90,ok
RF,dc_drift,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,dc_drift,0.3,B,0.9970,0.9778,1.0000,0.0581,,,,0.0000,0.8000,250,90,ok
RF,dc_drift,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,dc_drift,0.6,B,1.0000,1.0000,1.0000,0.0318,,,,0.0000,0.8000,250,90,ok
RF,dc_drift,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,dc_drift,0.9,B,1.0000,1.0000,1.0000,0.0280,,,,0.0000,0.8000,250,90,ok
RF,adc_clipping,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,adc_clipping,0.3,B,0.9995,0.9778,1.0000,0.0594,,,,0.0000,0.8000,250,90,ok
RF,adc_clipping,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,adc_clipping,0.6,B,1.0000,0.9889,1.0000,0.0344,,,,0.0000,0.8000,250,90,ok
RF,adc_clipping,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,adc_clipping,0.9,B,1.0000,1.0000,1.0000,0.0252,,,,0.0000,0.8000,250,90,ok
RF,channel_dropout,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,channel_dropout,0.3,B,0.9985,0.9667,1.0000,0.0673,,,,0.0000,0.8000,250,90,ok
RF,channel_dropout,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,channel_dropout,0.6,B,1.0000,0.9667,1.0000,0.0615,,,,0.0000,0.8000,250,90,ok
RF,channel_dropout,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,channel_dropout,0.9,B,1.0000,0.9778,1.0000,0.0631,,,,0.0000,0.8000,250,90,ok
RF,coupling_shift,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,coupling_shift,0.3,B,0.9925,0.9667,1.0000,0.0485,,,,0.0000,0.8000,250,90,ok
RF,coupling_shift,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,coupling_shift,0.6,B,0.9990,0.9778,1.0000,0.0277,,,,0.0000,0.8000,250,90,ok
RF,coupling_shift,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,coupling_shift,0.9,B,1.0000,0.9778,1.0000,0.0294,,,,0.0000,0.8000,250,90,ok
RF,gain_mismatch,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,gain_mismatch,0.3,B,0.9995,0.9667,1.0000,0.0636,,,,0.0000,0.8000,250,90,ok
RF,gain_mismatch,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,gain_mismatch,0.6,B,0.9980,0.9778,1.0000,0.0380,,,,0.0000,0.8000,250,90,ok
RF,gain_mismatch,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,gain_mismatch,0.9,B,0.9945,0.9444,1.0000,0.0585,,,,0.0000,0.8000,250,90,ok
RF,partial_suppression,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.3,B,0.9935,0.7111,1.0000,0.2579,,,,0.0000,0.8000,250,90,ok
RF,partial_suppression,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.6,B,0.9860,0.6222,1.0000,0.3691,,,,0.0000,0.8000,250,90,ok
RF,partial_suppression,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,partial_suppression,0.9,B,0.9915,0.5667,1.0000,0.4086,,,,0.0000,0.8000,250,90,ok
RF,rate_decrease,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.3,B,0.9955,0.6222,1.0000,0.3723,,,,0.0000,0.8000,250,90,ok
RF,rate_decrease,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.6,B,0.7735,0.5556,1.0000,0.4750,,,,0.0000,0.8000,250,90,ok
RF,rate_decrease,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,rate_decrease,0.9,B,0.9130,0.5556,1.0000,0.4611,,,,0.0000,0.8000,250,90,ok
RF,spike_jitter,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,spike_jitter,0.3,B,0.9985,0.9556,1.0000,0.1115,,,,0.0000,0.8000,250,90,ok
RF,spike_jitter,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,spike_jitter,0.6,B,1.0000,1.0000,1.0000,0.0530,,,,0.0000,0.8000,250,90,ok
RF,spike_jitter,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,spike_jitter,0.9,B,1.0000,1.0000,1.0000,0.0358,,,,0.0000,0.8000,250,90,ok
RF,bandpass_mismatch,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.3,B,0.9990,0.9889,1.0000,0.2363,,,,0.0000,0.8000,250,90,ok
RF,bandpass_mismatch,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.6,B,0.9985,0.9778,1.0000,0.2313,,,,0.0000,0.8000,250,90,ok
RF,bandpass_mismatch,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,bandpass_mismatch,0.9,B,0.9980,0.9000,1.0000,0.2366,,,,0.0000,0.8000,250,90,ok
RF,sample_rate_mismatch,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.3,B,0.9970,0.9778,1.0000,0.0489,,,,0.0000,0.8000,250,90,ok
RF,sample_rate_mismatch,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.6,B,1.0000,1.0000,1.0000,0.0284,,,,0.0000,0.8000,250,90,ok
RF,sample_rate_mismatch,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,sample_rate_mismatch,0.9,B,1.0000,1.0000,1.0000,0.0175,,,,0.0000,0.8000,250,90,ok
RF,quantization_change,0.3,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.3,B,0.9950,0.9444,1.0000,0.0782,,,,0.0000,0.8000,250,90,ok
RF,quantization_change,0.6,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
RF,quantization_change,0.6,B,1.0000,0.9889,1.0000,0.0373,,,,0.0000,0.8000,250,90,ok
RF,quantization_change,0.9,A,0.9999,0.9960,1.0000,0.0211,,,,0.0000,0.8000,250,250,ok
