group,condition,severity,p_neurotox,triaged_label,feat1_name,feat1_imp,feat1_val,feat1_base,feat1_contrib,feat2_name,feat2_imp,feat2_val,feat2_base,feat2_contrib,feat3_name,feat3_imp,feat3_val,feat3_base,feat3_contrib,feat4_name,feat4_imp,feat4_val,feat4_base,feat4_contrib,feat5_name,feat5_imp,feat5_val,feat5_base,feat5_contrib
neurotox,spike_suppression,0.3,0.892,suppression-like,bp_high_mean,0.1291,27.198,51.103,0.1866,bp_low_mean,0.1082,2.243,4.120,0.1442,rms_mean,0.1547,8.233,11.088,0.0488,rms_max,0.0703,22.333,28.024,0.0467,bp_mid_std,0.0335,8.470,15.141,0.0413
neurotox,spike_suppression,0.6,0.959,suppression-like,bp_high_mean,0.1291,13.790,51.103,0.2912,bp_low_mean,0.1082,1.122,4.120,0.2302,rms_max,0.0703,6.775,28.024,0.1744,rms_mean,0.1547,5.171,11.088,0.1011,bp_mid_std,0.0335,4.379,15.141,0.0667
neurotox,spike_suppression,0.9,0.985,suppression-like,bp_high_mean,0.1291,3.933,51.103,0.3681,bp_low_mean,0.1082,0.326,4.120,0.2914,spike_rate_max,0.0665,0.000,8.800,0.2805,rms_max,0.0703,3.691,28.024,0.1998,rms_mean,0.1547,2.765,11.088,0.1422
neurotox,rate_decrease,0.3,0.709,suppression-like,bp_high_mean,0.1291,37.159,51.103,0.1088,spectral_flatness_hb,0.0441,0.029,0.195,0.0996,rms_max,0.0703,17.794,28.024,0.0840,spectral_edge_freq,0.0449,871.094,4468.750,0.0703,kurtosis_mean,0.0420,370.262,271.772,0.0406
neurotox,rate_decrease,0.6,0.776,suppression-like,bp_high_mean,0.1291,26.338,51.103,0.1933,rms_max,0.0703,14.521,28.024,0.1108,spectral_flatness_hb,0.0441,0.015,0.195,0.1081,spectral_edge_freq,0.0449,722.656,4468.750,0.0732,rms_mean,0.1547,8.268,11.088,0.0482
neurotox,rate_decrease,0.9,0.782,suppression-like,bp_high_mean,0.1291,17.915,51.103,0.2590,rms_max,0.0703,10.198,28.024,0.1463,spectral_flatness_hb,0.0441,0.010,0.195,0.1110,spectral_edge_freq,0.0449,576.172,4468.750,0.0760,rms_mean,0.1547,7.250,11.088,0.0656
FP_artifact,ADC_clipping,0.9,0.877,suppression-like,rms_max,0.0703,15.887,28.024,0.0996,rms_mean,0.1547,10.112,11.088,0.0167,spatial_cv_rms,0.0039,0.231,0.411,0.0137,spike_rate_std,0.0227,2.015,1.832,0.0124,bp_high_mean,0.1291,49.536,51.103,0.0122
FP_artifact,coupling_shift,0.9,0.910,suppression-like,rms_max,0.0703,14.117,28.024,0.1142,spike_rate_max,0.0665,10.200,8.800,0.0446,bp_mid_std,0.0335,19.694,15.141,0.0282,bp_high_mean,0.1291,48.085,51.103,0.0236,spike_rate_std,0.0227,2.178,1.832,0.0234
FP_artifact,sample_rate_mismatch,0.9,0.920,suppression-like,rms_max,0.0703,13.162,28.024,0.1220,bp_low_mean,0.1082,3.354,4.120,0.0588,bp_high_mean,0.1291,44.703,51.103,0.0499,rms_mean,0.1547,9.574,11.088,0.0259,spike_rate_max,0.0665,9.600,8.800,0.0255
FP_artifact,bandpass_mismatch,0.6,0.815,suppression-like,bp_low_mean,0.1082,0.403,4.120,0.2854,rms_max,0.0703,13.351,28.024,0.1205,spectral_edge_freq,0.0449,1058.594,4468.750,0.0666,kurtosis_mean,0.0420,186.625,271.772,0.0351,bp_low_std,0.0120,0.220,1.698,0.0293
FP_artifact,bandpass_mismatch,0.9,0.843,suppression-like,bp_low_mean,0.1082,0.028,4.120,0.3142,rms_max,0.0703,12.468,28.024,0.1277,spectral_edge_freq,0.0449,1027.344,4468.750,0.0672,kurtosis_mean,0.0420,161.407,271.772,0.0455,rms_mean,0.1547,9.047,11.088,0.0349
