cusum_threshold,cooldown_s,noise_condition,duration_min,n_false_alarms,n_neurotox_false_alarms,fpr_per_hour,neurotox_fpr_per_hour
3.0,0,clean,10.0,2,2,12.00,12.00
3.0,5,clean,10.0,2,2,12.00,12.00
3.0,10,clean,10.0,2,2,12.00,12.00
3.0,30,clean,10.0,2,2,12.00,12.00
4.0,0,clean,10.0,1,1,6.00,6.00
4.0,5,clean,10.0,1,1,6.00,6.00
4.0,10,clean,10.0,1,1,6.00,6.00
4.0,30,clean,10.0,1,1,6.00,6.00
5.0,0,clean,10.0,1,1,6.00,6.00
5.0,5,clean,10.0,1,1,6.00,6.00
5.0,10,clean,10.0,1,1,6.00,6.00
5.0,30,clean,10.0,1,1,6.00,6.00
6.0,0,clean,10.0,0,0,0.00,0.00
6.0,5,clean,10.0,0,0,0.00,0.00
6.0,10,clean,10.0,0,0,0.00,0.00
6.0,30,clean,10.0,0,0,0.00,0.00
7.0,0,clean,10.0,0,0,0.00,0.00
7.0,5,clean,10.0,0,0,0.00,0.00
7.0,10,clean,10.0,0,0,0.00,0.00
7.0,30,clean,10.0,0,0,0.00,0.00
8.0,0,clean,10.0,0,0,0.00,0.00
8.0,5,clean,10.0,0,0,0.00,0.00
8.0,10,clean,10.0,0,0,0.00,0.00
8.0,30,clean,10.0,0,0,0.00,0.00
10.0,0,clean,10.0,0,0,0.00,0.00
10.0,5,clean,10.0,0,0,0.00,0.00
10.0,10,clean,10.0,0,0,0.00,0.00
10.0,30,clean,10.0,0,0,0.00,0.00
3.0,0,60Hz_mild,10.0,10,8,60.00,48.00
3.0,5,60Hz_mild,10.0,10,8,60.00,48.00
3.0,10,60Hz_mild,10.0,9,7,54.00,42.00
3.0,30,60Hz_mild,10.0,7,5,42.00,30.00
4.0,0,60Hz_mild,10.0,11,10,66.00,60.00
4.0,5,60Hz_mild,10.0,11,10,66.00,60.00
4.0,10,60Hz_mild,10.0,10,9,60.00,54.00
4.0,30,60Hz_mild,10.0,7,6,42.00,36.00
5.0,0,60Hz_mild,10.0,10,9,60.00,54.00
5.0,5,60Hz_mild,10.0,10,9,60.00,54.00
5.0,10,60Hz_mild,10.0,10,9,60.00,54.00
5.0,30,60Hz_mild,10.0,7,7,42.00,42.00
6.0,0,60Hz_mild,10.0,9,8,54.00,48.00
6.0,5,60Hz_mild,10.0,9,8,54.00,48.00
6.0,10,60Hz_mild,10.0,9,8,54.00,48.00
6.0,30,60Hz_mild,10.0,6,5,36.00,30.00
7.0,0,60Hz_mild,10.0,8,8,48.00,48.00
7.0,5,60Hz_mild,10.0,8,8,48.00,48.00
